,country,time-period,sector,energy-type,value(KTOE)
561,Denmark,2010,transport,Natural gas,0.0
562,Denmark,2011,transport,Natural gas,0.0
563,Denmark,2012,transport,Natural gas,0.0
564,Denmark,2013,transport,Natural gas,0.0
565,Denmark,2014,transport,Natural gas,0.0
566,Denmark,2015,transport,Natural gas,37.65
567,Denmark,2016,transport,Natural gas,39.068
568,Denmark,2017,transport,Natural gas,42.545
569,Denmark,2018,transport,Natural gas,9.514
570,Denmark,2019,transport,Natural gas,10.607
571,Denmark,2020,transport,Natural gas,11.034
572,Estonia,2009,transport,Natural gas,0.0
573,Estonia,2010,transport,Natural gas,0.043
574,Estonia,2011,transport,Natural gas,0.258
575,Estonia,2012,transport,Natural gas,0.537
576,Estonia,2013,transport,Natural gas,0.86
577,Estonia,2014,transport,Natural gas,1.569
578,Estonia,2015,transport,Natural gas,2.773
579,Estonia,2016,transport,Natural gas,4.127
580,Estonia,2017,transport,Natural gas,4.552
581,Estonia,2018,transport,Natural gas,7.113
582,Estonia,2019,transport,Natural gas,6.406
583,Estonia,2020,transport,Natural gas,15.533
584,Greece,2009,transport,Natural gas,15.069
585,Greece,2010,transport,Natural gas,14.467
586,Greece,2011,transport,Natural gas,14.94
587,Greece,2012,transport,Natural gas,14.725
588,Greece,2013,transport,Natural gas,13.414
589,Greece,2014,transport,Natural gas,13.758
590,Greece,2015,transport,Natural gas,15.112
591,Greece,2016,transport,Natural gas,18.96
592,Greece,2017,transport,Natural gas,12.79
593,Greece,2018,transport,Natural gas,15.191
594,Greece,2019,transport,Natural gas,17.891
595,Greece,2020,transport,Natural gas,18.126
596,Spain,2009,transport,Natural gas,90.004
597,Spain,2010,transport,Natural gas,109.823
598,Spain,2011,transport,Natural gas,110.34
599,Spain,2012,transport,Natural gas,110.319
600,Spain,2013,transport,Natural gas,123.84
601,Spain,2014,transport,Natural gas,125.647
602,Spain,2015,transport,Natural gas,120.078
603,Spain,2016,transport,Natural gas,142.177
604,Spain,2017,transport,Natural gas,163.888
605,Spain,2018,transport,Natural gas,203.117
606,Spain,2019,transport,Natural gas,249.054
607,Spain,2020,transport,Natural gas,313.133
608,Finland,2009,transport,Natural gas,14.617
609,Finland,2010,transport,Natural gas,14.617
610,Finland,2011,transport,Natural gas,11.178
611,Finland,2012,transport,Natural gas,13.113
612,Finland,2013,transport,Natural gas,9.286
613,Finland,2014,transport,Natural gas,9.652
614,Finland,2015,transport,Natural gas,6.728
615,Finland,2016,transport,Natural gas,8.491
